"local_site","DateTime","mmt_num","SM"
"MRS1",2018-05-13 17:00:00,5,0.2465
"MRS1",2018-05-13 18:00:00,1,0.1027
"MRS1",2018-05-13 18:00:00,2,0.1753
"MRS1",2018-05-13 18:00:00,3,0.0642
"MRS1",2018-05-13 18:00:00,4,0.1521
"MRS1",2018-05-13 18:00:00,5,0.2487
"MRS1",2018-05-13 19:00:00,1,0.2516
"MRS1",2018-05-13 19:00:00,2,0.2008
"MRS1",2018-05-13 19:00:00,3,0.0678
"MRS1",2018-05-13 19:00:00,4,0.2044
"MRS1",2018-05-13 19:00:00,5,0.2705
"MRS1",2018-05-13 20:00:00,1,0.3082
"MRS1",2018-05-13 20:00:00,2,0.2472
"MRS1",2018-05-13 20:00:00,3,0.1121
"MRS1",2018-05-13 20:00:00,4,0.2313
"MRS1",2018-05-13 20:00:00,5,0.277
"MRS1",2018-05-13 21:00:00,1,0.2603
"MRS1",2018-05-13 21:00:00,2,0.2465
"MRS1",2018-05-13 21:00:00,3,0.1085
"MRS1",2018-05-13 21:00:00,4,0.2204
"MRS1",2018-05-13 21:00:00,5,0.2777
"MRS1",2018-05-13 22:00:00,1,0.2276
"MRS1",2018-05-13 22:00:00,2,0.2429
"MRS1",2018-05-13 22:00:00,3,0.1042
"MRS1",2018-05-13 22:00:00,4,0.2153
"MRS1",2018-05-13 22:00:00,5,0.2756
"MRS1",2018-05-13 23:00:00,1,0.2138
"MRS1",2018-05-13 23:00:00,2,0.2363
"MRS1",2018-05-13 23:00:00,3,0.102
"MRS1",2018-05-13 23:00:00,4,0.2051
"MRS1",2018-05-13 23:00:00,5,0.2741
"MRS1",2018-05-14 00:00:00,1,0.2058
"MRS1",2018-05-14 00:00:00,2,0.2313
"MRS1",2018-05-14 00:00:00,3,0.0998
"MRS1",2018-05-14 00:00:00,4,0.1964
"MRS1",2018-05-14 00:00:00,5,0.2727
